  UID   PID  PPID   C STIME   TTY           TIME CMD
  501   765     1   0  7Feb24 ??         0:23.65 /Library/Developer/PrivateFrameworks/CoreSimulator.framework/Versions/A/XPCServices/SimulatorTrampoline.xpc/Contents/MacOS/SimulatorTrampoline
  501   769     1   0  7Feb24 ??         0:00.41 /usr/libexec/seserviced
  501   777     1   0  7Feb24 ??         0:18.11 /System/Library/PrivateFrameworks/CommerceKit.framework/Versions/A/Resources/commerce
    0   780     1   0  7Feb24 ??        31:14.88 /System/Library/PrivateFrameworks/AmbientDisplay.framework/Versions/A/XPCServices/com.apple.AmbientDisplayAgent.xpc/Contents/MacOS/com.apple.AmbientDisplayAgent
  501   791     1   0  7Feb24 ??        46:23.33 /System/Library/CoreServices/UniversalControl.app/Contents/MacOS/UniversalControl
  501   792     1   0  7Feb24 ??         3:42.95 /usr/libexec/biomesyncd
  270   793     1   0  7Feb24 ??         0:00.58 /System/Library/DriverExtensions/IOUserBluetoothSerialDriver.dext/IOUserBluetoothSerialDriver com.apple.IOUserBluetoothSerialDriver 0x100000f80 com.apple.IOUserBluetoothSerialDriver
  501   803     1   0  7Feb24 ??       164:29.60 /System/Library/PrivateFrameworks/CoreSpeech.framework/corespeechd
  501   811     1   0  7Feb24 ??         0:10.48 /System/Library/Image Capture/Support/icdd
  501   815     1   0  7Feb24 ??         0:20.60 /System/Library/CoreServices/AirPlayUIAgent.app/Contents/MacOS/AirPlayUIAgent --launchd
  501   817     1   0  7Feb24 ??         0:33.99 /System/Library/CoreServices/diagnostics_agent
  501   818     1   0  7Feb24 ??         2:53.57 /System/Library/CoreServices/TextInputMenuAgent.app/Contents/MacOS/TextInputMenuAgent
    0   820     1   0  7Feb24 ??         0:01.06 /System/Library/Frameworks/CryptoTokenKit.framework/ctkahp.bundle/Contents/MacOS/ctkahp -d
  501   821     1   0  7Feb24 ??         0:00.50 /System/Library/Frameworks/CryptoTokenKit.framework/ctkahp.bundle/Contents/MacOS/ctkahp
  501   829     1   0  7Feb24 ??        23:11.89 /Applications/Dropover.app/Contents/MacOS/Dropover
  260   835     1   0  7Feb24 ??         0:18.46 /usr/sbin/distnoted agent
  235   867     1   0  7Feb24 ??         0:18.23 /usr/sbin/distnoted agent
  278   906     1   0  7Feb24 ??         0:17.91 /usr/sbin/distnoted agent
  501   910     1   0  7Feb24 ??         1:18.30 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mdbulkimport -s mdworker-bundle -c MDSImporterBundleFinder -m com.apple.metadata.mdbulkimport
  265   926     1   0  7Feb24 ??         0:05.14 /System/Library/PrivateFrameworks/CoreFP.framework/Versions/A/fairplayd
  247   929     1   0  7Feb24 ??         0:18.05 /usr/sbin/distnoted agent
    0   938   315   0  7Feb24 ??         0:11.27 /usr/sbin/systemstats --logger-helper /private/var/db/systemstats
  501   957     1   0  7Feb24 ??         0:00.39 /System/Library/PrivateFrameworks/CommerceKit.framework/Versions/A/Resources/storedownloadd
  501   989     1   0 27Feb24 ??         3:11.95 /System/Library/PrivateFrameworks/CoreSuggestions.framework/Versions/A/Support/suggestd
  501  1012     1   0 27Feb24 ??         1:51.49 /System/Library/CoreServices/Siri.app/Contents/MacOS/Siri launchd
   89  1016     1   0  7Feb24 ??         0:22.05 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mdbulkimport -s mdworker-bundle -c MDSImporterBundleFinder -m com.apple.metadata.mdbulkimport
  501  1034     1   0 27Feb24 ??         3:35.04 /System/Library/PrivateFrameworks/CoreDuetContext.framework/Resources/ContextStoreAgent
  294  1049     1   0 27Feb24 ??         0:05.64 /usr/libexec/audiomxd
  269  1055     1   0  7Feb24 ??         0:18.12 /usr/sbin/distnoted agent
  501  1065     1   0 27Feb24 ??         0:31.82 /System/Library/CoreServices/Siri.app/Contents/XPCServices/SiriNCService.xpc/Contents/MacOS/SiriNCService
    0  1124     1   0  7Feb24 ??         0:00.11 /System/Library/CoreServices/CrashReporterSupportHelper server-init
  277  1156     1   0  7Feb24 ??         0:17.74 /usr/sbin/distnoted agent
  501  1298     1   0  7Feb24 ??         1:10.83 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mdwrite
    0  1306     1   0  7Feb24 ??         0:00.20 /System/Library/CoreServices/Applications/Feedback Assistant.app/Contents/Library/LaunchServices/fbahelperd
  501  1391     1   0  7Feb24 ??         4:27.37 /usr/libexec/searchpartyuseragent
  501  1603     1   0  7Feb24 ??         0:00.12 /usr/libexec/USBAgent
  501  1608     1   0  7Feb24 ??         0:37.85 /System/Library/CoreServices/PowerChime.app/Contents/MacOS/PowerChime
  501  1889     1   0  7Feb24 ??         0:20.88 /Library/Developer/PrivateFrameworks/CoreSimulator.framework/Versions/A/Resources/SimStreamProcessorServices.simdeviceio/Contents/XPCServices/SimStreamProcessorService.xpc/Contents/MacOS/SimStreamProcessorService
  501  1891     1   0  7Feb24 ??         0:29.58 /Library/Developer/PrivateFrameworks/CoreSimulator.framework/Versions/A/Resources/SimAudioProcessorServices.simdeviceio/Contents/XPCServices/SimAudioProcessorService.xpc/Contents/MacOS/SimAudioProcessorService
    0  1955     1   0  7Feb24 ??         0:17.92 /usr/libexec/taskgated
  265  2114     1   0  7Feb24 ??         0:18.17 /usr/sbin/distnoted agent
  501  2148     1   0  7Feb24 ??         0:26.93 /System/Library/CoreServices/UserNotificationCenter.app/Contents/MacOS/UserNotificationCenter
  501  2889     1   0  8Feb24 ??         0:02.54 /System/Library/PrivateFrameworks/IMDPersistence.framework/IMAutomaticHistoryDeletionAgent.app/Contents/MacOS/IMAutomaticHistoryDeletionAgent
